, ,Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
0,01.01.19,"6,936"
1,02.01.19,"19,907"
2,03.01.19,"17,420"
3,04.01.19,"0,865"
4,05.01.19,"1,145"
5,06.01.19,"1,884"
6,07.01.19,"1,691"
7,08.01.19,"3,102"
8,09.01.19,"1,017"
9,10.01.19,"8,173"
10,11.01.19,"2,326"
11,12.01.19,"1,039"
12,13.01.19,"1,551"
13,14.01.19,"9,524"
14,15.01.19,"0,804"
15,16.01.19,"0,960"
16,17.01.19,"3,430"
17,18.01.19,"15,272"
18,19.01.19,"21,365"
19,20.01.19,"10,145"
20,21.01.19,"3,425"
21,22.01.19,"17,646"
22,23.01.19,"7,134"
23,24.01.19,"2,280"
24,25.01.19,"2,839"
25,26.01.19,"1,906"
26,27.01.19,"1,788"
27,28.01.19,"1,180"
28,29.01.19,"15,245"
29,30.01.19,"6,882"
30,31.01.19,"6,581"
31,01.05.21,"25,130"
32,02.05.21,"25,403"
33,03.05.21,"24,726"
34,04.05.21,"16,425"
35,05.05.21,"19,036"
36,06.05.21,"44,220"
37,07.05.21,"32,427"
38,08.05.21,"45,218"
39,09.05.21,"54,427"
40,10.05.21,"30,826"
41,11.05.21,"18,917"
42,12.05.21,"18,676"
43,13.05.21,"10,571"
44,14.05.21,"10,213"
45,15.05.21,"29,955"
46,16.05.21,"28,291"
47,17.05.21,"32,975"
48,18.05.21,"26,207"
49,19.05.21,"39,167"
50,20.05.21,"47,133"
51,21.05.21,"33,814"
52,22.05.21,"14,565"
53,23.05.21,"29,982"
54,24.05.21,"46,287"
55,25.05.21,"29,586"
56,26.05.21,"29,113"
57,27.05.21,"19,226"
58,28.05.21,"30,038"
59,29.05.21,"20,448"
60,30.05.21,"54,747"
61,31.05.21,"61,128"
62,01.11.21,"10,690"
63,02.11.21,"16,726"
64,03.11.21,"6,842"
65,04.11.21,"2,875"
66,05.11.21,"8,896"
67,06.11.21,"2,436"
68,07.11.21,"12,765"
69,08.11.21,"8,175"
70,09.11.21,"20,130"
71,10.11.21,"5,473"
72,11.11.21,"1,583"
73,12.11.21,"2,409"
74,13.11.21,"1,531"
75,14.11.21,"1,179"
76,15.11.21,"1,129"
77,16.11.21,"0,382"
78,17.11.21,"2,130"
