 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.10.20;"29,001"
02.10.20;"10,979"
03.10.20;"10,504"
04.10.20;"22,520"
05.10.20;"13,891"
06.10.20;"11,094"
07.10.20;"16,489"
08.10.20;"2,206"
09.10.20;"32,347"
10.10.20;"26,986"
11.10.20;"14,452"
12.10.20;"11,784"
13.10.20;"33,976"
14.10.20;"15,824"
15.10.20;"18,769"
16.10.20;"14,110"
17.10.20;"22,918"
18.10.20;"12,015"
19.10.20;"16,187"
20.10.20;"6,918"
21.10.20;"4,322"
22.10.20;"25,231"
23.10.20;"11,210"
24.10.20;"13,495"
25.10.20;"3,570"
26.10.20;"5,191"
27.10.20;"11,531"
28.10.20;"16,641"
29.10.20;"16,390"
30.10.20;"1,925"
31.10.20;"3,020"
