 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.10.21;"311,208"
02.10.21;"322,774"
03.10.21;"108,239"
04.10.21;"85,234"
05.10.21;"81,070"
06.10.21;"219,590"
07.10.21;"304,411"
08.10.21;"99,831"
09.10.21;"219,054"
10.10.21;"312,214"
11.10.21;"81,507"
12.10.21;"109,104"
13.10.21;"260,842"
14.10.21;"68,041"
15.10.21;"83,075"
16.10.21;"250,898"
17.10.21;"230,218"
18.10.21;"271,258"
19.10.21;"87,616"
20.10.21;"185,053"
21.10.21;"210,808"
22.10.21;"224,221"
23.10.21;"175,260"
24.10.21;"292,919"
25.10.21;"192,229"
26.10.21;"149,402"
27.10.21;"68,960"
28.10.21;"267,365"
29.10.21;"250,342"
30.10.21;"139,869"
31.10.21;"186,860"
