time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014-01-01,4.0,2.4,6.7,1.2,0.0,181.6,16.6,36.7,1008.1,204.0
2014-01-02,7.1,4.5,9.1,1.1,0.0,185.3,19.8,44.6,1000.1,42.0
2014-01-03,6.6,3.9,9.4,3.3,0.0,191.0,18.4,69.8,1002.7,0.0
2014-01-04,5.9,3.4,7.8,0.0,0.0,184.3,16.2,38.5,1003.2,150.0
2014-01-05,4.5,1.3,7.5,1.9,0.0,214.0,14.0,43.2,1003.6,126.0
2014-01-06,7.1,2.3,10.4,6.0,0.0,189.6,21.2,47.5,1003.8,0.0
2014-01-07,9.9,7.5,11.4,0.1,0.0,218.6,21.6,45.7,1008.3,24.0
2014-01-08,8.6,7.2,9.3,3.9,0.0,231.8,19.8,45.7,1013.2,12.0
2014-01-09,8.3,5.4,11.9,6.0,0.0,223.1,25.6,73.4,1002.9,0.0
2014-01-10,6.1,5.1,7.0,0.7,0.0,261.3,23.8,51.5,1010.3,0.0
2014-01-11,5.2,3.6,6.0,2.9,0.0,247.7,20.5,61.2,1012.2,0.0
2014-01-12,3.5,-0.1,6.6,0.9,0.0,259.4,15.1,47.2,1020.0,348.0
2014-01-13,3.3,-0.3,6.8,1.7,0.0,186.7,13.7,36.0,1010.1,6.0
2014-01-14,2.2,-0.1,4.6,0.0,0.0,141.5,8.3,21.2,1008.3,204.0
2014-01-15,2.8,1.3,4.2,6.2,0.0,156.3,12.2,29.5,1008.3,18.0
2014-01-16,3.8,2.5,6.3,7.8,0.0,150.4,16.2,31.7,1001.3,0.0
2014-01-17,6.5,5.2,8.0,2.2,0.0,174.2,11.5,23.8,1000.5,0.0
2014-01-18,5.6,3.6,8.1,0.0,0.0,147.9,14.4,40.3,1003.9,114.0
2014-01-19,2.9,0.2,4.8,0.0,0.0,110.8,23.0,50.8,1005.3,0.0
2014-01-20,-0.6,-1.1,0.2,0.1,0.0,102.1,15.1,34.9,1008.4,0.0
2014-01-21,-1.5,-1.7,-1.1,0.1,0.0,107.1,8.6,17.6,1013.0,0.0
2014-01-22,-2.5,-3.9,-1.3,0.0,0.0,117.1,15.8,38.2,1016.1,0.0
2014-01-23,-3.4,-4.1,-2.8,0.8,0.0,131.3,19.8,40.0,1016.2,0.0
2014-01-24,-5.3,-8.7,-4.0,0.0,10.0,108.3,17.6,33.1,1019.1,0.0
2014-01-25,-9.8,-11.7,-7.7,0.0,10.0,133.8,19.1,46.1,1020.1,30.0
2014-01-26,-9.8,-11.6,-8.2,2.5,10.0,126.3,20.5,40.0,1007.3,144.0
2014-01-27,-0.9,-8.2,4.8,0.0,30.0,167.1,16.2,41.8,994.0,264.0
2014-01-28,-1.0,-3.0,1.2,0.0,20.0,130.0,17.3,37.1,1001.9,252.0
2014-01-29,-4.5,-5.8,-1.4,0.0,20.0,112.9,21.2,39.6,1008.0,0.0
2014-01-30,-4.4,-5.6,-2.8,0.0,20.0,111.7,17.6,33.8,1011.6,270.0
2014-01-31,-3.8,-5.7,-1.5,0.0,10.0,127.8,12.6,26.6,1009.3,108.0
2014-02-01,2.5,-3.3,4.3,2.4,0.0,177.5,18.0,41.0,1000.2,0.0
2014-02-02,3.6,-1.0,8.0,0.0,0.0,187.5,13.3,34.9,1011.3,420.0
2014-02-03,0.5,-2.6,2.9,0.0,0.0,130.3,10.8,42.8,1015.1,378.0
2014-02-04,2.3,-0.9,8.1,0.0,0.0,162.8,11.9,27.0,1008.7,228.0
2014-02-05,1.5,-1.9,5.3,0.0,0.0,154.0,14.8,32.0,999.9,216.0
2014-02-06,6.4,4.1,9.1,3.2,0.0,192.5,17.6,42.1,1000.0,18.0
2014-02-07,7.2,4.9,12.0,7.4,0.0,199.8,25.9,79.9,990.3,6.0
2014-02-08,5.9,2.8,8.6,1.0,0.0,195.5,21.6,50.0,992.1,24.0
2014-02-09,6.2,4.5,8.5,2.0,0.0,212.2,26.6,66.2,989.8,156.0
2014-02-10,4.3,1.0,7.5,0.1,0.0,157.3,11.5,29.2,997.2,168.0
2014-02-11,4.7,2.3,7.5,0.0,0.0,212.2,16.2,50.4,998.0,42.0
2014-02-12,5.3,3.0,7.9,0.2,0.0,207.8,20.5,68.4,1002.3,366.0
2014-02-13,5.7,1.5,9.0,6.4,0.0,204.7,19.1,52.6,993.8,240.0
2014-02-14,4.3,1.5,7.5,0.5,0.0,206.4,19.4,54.4,1002.2,294.0
2014-02-15,9.5,5.3,12.9,1.7,0.0,202.4,30.6,76.7,993.3,132.0
2014-02-16,5.7,2.5,8.2,0.6,0.0,246.9,25.6,70.6,1003.3,42.0
2014-02-17,3.7,0.0,7.7,0.0,0.0,218.8,10.1,24.8,1013.1,36.0
2014-02-18,4.7,-0.7,9.0,3.3,0.0,184.5,10.1,23.8,1013.5,30.0
2014-02-19,6.0,3.7,8.3,0.3,0.0,234.7,13.0,28.8,1010.0,0.0
2014-02-20,7.6,4.4,11.8,2.0,0.0,206.2,15.5,42.8,1008.0,228.0
2014-02-21,7.1,3.4,9.6,1.1,0.0,224.7,16.2,50.8,1003.5,66.0
2014-02-22,5.0,2.8,7.1,0.0,0.0,211.3,19.1,39.2,1011.0,96.0
2014-02-23,6.0,2.0,10.4,0.0,0.0,199.2,18.4,44.3,1018.9,516.0
2014-02-24,6.8,2.1,12.2,0.0,0.0,171.7,16.6,41.0,1015.2,480.0
2014-02-25,7.9,1.3,14.2,0.0,0.0,171.7,13.7,29.9,1010.2,486.0
2014-02-26,7.1,-0.3,10.8,0.0,0.0,195.1,7.9,21.2,1015.3,48.0
2014-02-27,5.0,-1.9,11.7,0.4,0.0,184.9,11.5,36.7,1014.1,450.0
2014-02-28,3.8,-1.8,6.7,2.9,0.0,169.7,7.6,21.6,1004.8,66.0
2014-03-01,3.2,-2.6,7.6,1.6,0.0,84.8,7.9,28.8,1003.1,60.0
2014-03-02,4.4,-0.3,8.6,0.0,0.0,189.7,11.2,31.3,1001.8,156.0
2014-03-03,5.5,-0.5,11.0,0.0,0.0,152.4,13.7,50.8,994.5,228.0
2014-03-04,4.9,-1.0,10.7,0.0,0.0,343.9,4.0,12.2,1003.9,282.0
