time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014-01-01,2.3,-1.0,5.0,0.0,0.0,212.3,16.2,42.5,1012.5,72.0
2014-01-02,5.8,3.7,7.5,0.0,0.0,209.2,22.3,49.7,1005.5,12.0
2014-01-03,6.3,3.0,8.9,0.0,0.0,210.4,25.9,59.0,1008.7,6.0
2014-01-04,5.7,3.9,7.4,0.0,0.0,194.7,15.5,56.9,1006.8,30.0
2014-01-05,4.4,0.9,6.4,0.1,0.0,238.7,16.9,36.7,1006.7,0.0
2014-01-06,5.9,1.1,10.0,0.0,0.0,210.5,24.1,55.1,1011.0,36.0
2014-01-07,9.0,6.5,11.6,1.4,0.0,227.9,24.1,54.7,1014.4,402.0
2014-01-08,8.9,5.5,11.9,0.6,0.0,235.1,24.5,63.7,1017.3,312.0
2014-01-09,9.0,4.7,11.9,3.0,0.0,231.5,28.4,68.8,1008.8,42.0
2014-01-10,3.8,1.5,6.4,0.2,0.0,260.9,27.7,60.8,1014.9,270.0
2014-01-11,3.3,0.0,6.7,0.4,0.0,244.2,21.6,59.8,1016.3,84.0
2014-01-12,1.1,-3.0,4.2,0.0,0.0,264.7,16.2,32.0,1022.8,330.0
2014-01-13,1.4,-3.7,4.6,0.0,0.0,228.8,11.2,29.2,1013.7,48.0
2014-01-14,1.6,0.4,2.9,0.1,0.0,343.4,5.8,21.6,1008.6,0.0
2014-01-15,1.6,-0.7,4.6,0.0,0.0,228.6,12.6,31.3,1010.4,12.0
2014-01-16,4.6,2.0,6.8,2.8,0.0,201.6,16.6,41.8,1004.2,0.0
2014-01-17,5.7,3.0,8.5,0.0,0.0,214.1,16.9,32.4,1003.8,126.0
2014-01-18,2.2,-1.1,4.9,0.0,0.0,133.7,11.2,31.0,1005.5,246.0
2014-01-19,1.4,-0.5,3.3,0.4,0.0,75.4,9.7,23.4,1002.9,0.0
2014-01-20,-1.1,-1.7,0.5,0.8,0.0,67.9,11.5,27.7,1005.4,0.0
2014-01-21,-1.1,-1.7,-0.3,2.3,0.0,24.5,4.3,11.2,1011.2,0.0
2014-01-22,-1.5,-3.2,-0.7,0.5,0.0,52.9,6.8,12.6,1014.8,0.0
2014-01-23,-3.2,-4.2,-2.5,1.5,0.0,55.9,7.6,13.0,1016.4,0.0
