Datum,Produktion,Verbrauch,Netzeinspeisung,Netzbezug
2014-10-17,4.382,9.484,4.333,8.548
2014-10-18,2.627,6.512,0.074,4.232
2014-10-19,6.996,8.706,1.379,4.245
2014-10-20,2.26,6.012,0.08,4.204
2014-10-21,0.569,9.723,0.006,9.203
2014-10-22,3.683,7.445,0.102,4.481
2014-10-23,3.437,10.17,0.062,7.316
2014-10-24,2.531,8.235,0.18,6.263
2014-10-25,0.978,14.777,0.008,13.859
2014-10-26,3.387,8.19,0.068,5.555
2014-10-27,7.964,8.317,0.943,2.564
2014-10-28,10.532,5.724,3.729,1.326
2014-10-29,0.126,8.242,0.001,7.402
2014-10-30,2.91,11.155,0.036,8.817
2014-10-31,3.794,8.947,0.071,5.867
2014-01-11,7.742,3.573,2.2,1.694
2014-02-11,4.339,2.51,1.201,0.064
2014-03-11,4.552,2.675,0.909,0.088
2014-04-11,1.879,2.814,0.047,0.083
2014-05-11,0.479,3.522,0.035,2.765
2014-06-11,4.385,3.402,0.043,1.449
2014-07-11,9.475,3.15,3.953,0.031
2014-08-11,4.219,13.491,0.085,8.115
2014-09-11,7.651,10.901,0.316,5.362
2014-10-11,1.853,8.063,0.065,6.228
2014-11-11,6.182,8.032,0.249,4.355
2014-12-11,0.065,7.41,0.001,6.448
2014-11-13,0.484,7.1,0.033,6.718
2014-11-14,0.505,7.082,0.004,6.647
2014-11-15,0.205,8.764,0.0,8.622
2014-11-16,0.061,12.76,0.0,12.743
2014-11-17,6.175,6.418,0.179,2.163
2014-11-18,0.531,9.399,0.006,8.547
2014-11-19,0.231,9.541,0.0,9.353
2014-11-20,1.823,14.357,0.013,12.744
2014-11-21,1.507,11.874,0.025,10.586
2014-11-22,0.649,6.154,0.016,5.593
2014-11-23,1.852,8.38,0.018,6.709
2014-11-24,6.404,7.408,0.071,2.361
2014-11-25,2.887,10.785,0.04,8.352
2014-11-26,3.491,9.148,0.086,6.427
2014-11-27,3.47,6.381,0.034,3.574
2014-11-28,0.39,9.146,0.001,8.737
2014-11-29,0.21,12.567,0.0,12.426
2014-11-30,0.141,11.369,0.0,11.285
2014-01-12,1.381,8.363,0.024,7.281
2014-02-12,0.312,9.31,0.0,8.999
2014-03-12,0.118,9.024,0.0,8.96
2014-04-12,0.167,13.655,0.0,13.546
2014-05-12,0.212,9.08,0.006,8.933
2014-06-12,3.189,13.969,0.055,11.516
2014-07-12,0.731,7.935,0.017,7.257
2014-08-12,4.236,8.056,0.047,4.691
2014-09-12,0.135,9.347,0.0,9.202
2014-10-12,1.356,9.589,0.03,8.506
2014-11-12,0.614,6.714,0.009,6.226
2014-12-12,0.046,8.902,0.0,8.892
2014-12-13,0.675,14.374,0.006,13.825
2014-12-14,2.698,11.446,0.027,9.263
2014-12-15,0.062,9.381,0.0,9.332
2014-12-16,0.614,9.836,0.011,9.292
2014-12-17,0.116,12.419,0.0,12.357
2014-12-18,0.034,12.739,0.0,12.73
2014-12-19,0.623,8.162,0.019,7.697
2014-12-20,0.69,6.462,0.014,5.952
2014-12-21,0.286,8.464,0.015,8.2
2014-12-22,0.002,13.274,0.0,13.265
2014-12-23,0.061,13.452,0.0,13.432
2014-12-24,1.166,8.299,0.037,7.373
2014-12-25,1.183,8.019,0.049,6.968
2014-12-26,4.193,13.763,0.047,10.037
2014-12-27,1.358,9.034,0.024,7.755
2014-12-28,6.666,9.787,0.041,3.642
2014-12-29,2.544,9.856,0.028,7.288
2014-12-30,1.291,13.641,0.028,12.554
2014-12-31,0.122,7.469,0.0,7.345
2015-01-01,1.997,8.39,0.021,6.603
2015-02-01,2.442,10.572,0.053,8.385
2015-03-01,0.104,14.179,0.0,14.069
2015-04-01,5.498,7.77,0.072,3.007
2015-05-01,0.028,10.256,0.0,10.22
2015-06-01,0.216,12.244,0.0,12.076
2015-07-01,4.523,8.318,0.135,4.406
2015-08-01,0.013,7.391,0.0,7.373
2015-09-01,0.031,9.903,0.0,9.888
2015-10-01,0.16,17.039,0.0,16.942
2015-11-01,1.017,8.202,0.029,7.37
2015-12-01,0.024,7.361,0.0,7.348
2015-01-13,0.049,6.263,0.0,6.252
2015-01-14,0.692,8.661,0.026,8.117
2015-01-15,0.192,10.381,0.0,10.237
2015-01-16,4.558,8.056,0.048,4.174
2015-01-17,7.463,7.687,1.532,2.975
2015-01-18,0.282,10.957,0.01,10.278
2015-01-19,0.956,8.316,0.027,7.489
2015-01-20,1.15,11.522,0.005,10.414
2015-01-21,1.419,9.7,0.019,8.461
2015-01-22,0.708,8.787,0.014,8.1
2015-01-23,0.799,8.117,0.026,7.402
2015-01-24,0.008,10.845,0.0,10.831
2015-01-25,0.753,14.96,0.007,14.353
