time,PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh],tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,117.928,6.7,3.7,10.7,0.1,0.0,213.4,32.4,66.6,1001.6,183.0
2018-02-01,69.272,2.3,-0.7,4.7,1.1,0.0,229.3,21.2,48.2,1001.1,229.0
2018-03-01,56.669,-8.8,-12.8,-4.3,0.0,0.0,66.7,19.1,43.9,1014.3,575.0
2018-04-01,30.26,3.1,0.6,6.1,2.5,0.0,284.4,17.3,38.2,1006.0,53.0
2018-05-01,24.557,9.3,4.1,13.4,0.0,0.0,230.4,27.4,61.9,1010.7,676.0
2018-06-01,44.135,20.3,15.8,24.3,0.0,0.0,220.9,15.8,39.6,1014.5,522.0
2018-07-01,7.206,16.1,10.0,21.3,0.0,0.0,68.1,13.0,41.0,1018.7,907.0
2018-08-01,10.623,24.4,19.4,31.1,4.2,0.0,3.0,10.1,27.7,1018.5,470.0
2018-09-01,25.985,14.2,5.4,20.5,0.0,0.0,355.4,10.1,35.3,1024.1,578.0
2018-10-01,74.845,6.9,2.5,13.7,1.2,0.0,269.8,17.6,51.8,1015.0,124.0
2018-11-01,53.762,5.6,1.4,9.3,0.0,0.0,145.8,8.3,32.0,1013.0,158.0
2018-12-01,9.876,5.2,2.8,7.9,0.0,0.0,218.6,18.7,41.0,1014.5,141.0
2018-01-13,17.549,0.6,-1.4,2.1,0.0,0.0,65.0,11.5,30.2,1027.6,0.0
2018-01-14,101.265,-0.4,-1.9,1.5,0.0,0.0,104.0,14.0,32.8,1025.0,74.0
2018-01-15,127.038,1.0,-1.8,3.8,0.8,0.0,179.6,28.1,63.4,1012.1,205.0
2018-01-16,60.973,2.9,0.2,6.2,6.9,0.0,226.8,30.6,74.2,993.1,88.0
2018-01-17,45.272,0.5,-0.4,1.4,2.4,10.0,246.7,32.8,67.0,998.2,84.0
2018-01-18,74.699,3.0,0.9,8.5,1.9,20.0,237.8,42.5,130.0,997.5,117.0
2018-01-19,45.216,0.6,-1.0,1.6,2.5,0.0,240.3,13.7,30.6,1006.8,7.0
2018-01-20,65.826,0.7,-1.1,1.7,0.1,20.0,192.0,13.3,34.2,1005.5,82.0
2018-01-21,0.154,-0.8,-3.0,0.3,10.1,120.0,307.0,11.9,26.3,1012.0,12.0
2018-01-22,3.211,0.8,-1.9,2.5,0.7,140.0,203.4,19.4,40.3,1010.4,0.0
2018-01-23,64.748,3.7,1.9,6.0,2.7,60.0,239.2,21.2,53.6,1021.3,2.0
2018-01-24,116.65,8.2,5.8,10.7,0.0,0.0,216.3,31.3,61.6,1017.8,99.0
2018-01-25,45.4,8.4,6.9,10.0,1.8,0.0,206.0,24.1,57.6,1013.2,0.0
2018-01-26,38.414,5.7,3.9,7.3,1.8,0.0,258.6,8.6,19.8,1017.8,0.0
2018-01-27,166.862,3.8,0.3,7.0,0.0,0.0,244.9,11.5,55.4,1029.6,217.0
2018-01-28,100.327,6.1,4.5,7.9,0.0,0.0,231.6,35.6,69.1,1028.2,1.0
2018-01-29,75.286,8.0,5.1,9.5,0.0,0.0,239.6,38.9,75.2,1023.2,35.0
2018-01-30,214.527,3.0,0.6,5.9,0.2,0.0,251.7,19.8,54.0,1026.9,383.0
2018-01-31,93.131,5.8,1.7,8.2,0.4,0.0,203.8,27.0,60.5,1008.5,33.0
2018-01-02,185.907,3.4,1.4,5.4,2.1,0.0,236.8,24.8,51.5,1007.6,74.0
2018-02-02,63.994,1.1,-1.5,3.5,0.1,0.0,217.4,22.3,44.3,1003.6,81.0
2018-03-02,93.139,-8.5,-12.7,-3.6,0.0,0.0,59.6,15.1,38.9,1003.5,305.0
2018-04-02,1.893,6.4,-0.9,11.5,0.0,0.0,215.6,16.2,36.0,1009.2,460.0
2018-05-02,2.18,8.8,1.1,14.5,0.0,0.0,81.7,8.6,31.7,1013.3,98.0
2018-06-02,9.333,17.4,14.4,20.9,0.2,0.0,262.8,15.1,33.8,1017.0,119.0
2018-07-02,66.223,16.9,7.0,23.4,0.0,0.0,45.2,9.7,31.3,1017.0,906.0
2018-08-02,161.379,22.8,16.3,27.1,16.2,0.0,53.3,10.1,80.3,1021.3,503.0
2018-09-02,81.823,13.7,12.5,14.5,1.6,0.0,26.0,11.2,32.8,1023.2,0.0
2018-10-02,136.701,6.8,2.4,10.4,0.4,0.0,239.5,28.1,60.5,1017.8,14.0
2018-11-02,76.312,8.9,6.1,12.7,0.0,0.0,233.2,14.4,46.4,1021.6,285.0
2018-12-02,106.57,8.5,5.9,11.7,0.4,0.0,210.0,27.0,51.1,1003.0,0.0
2018-02-13,282.385,-1.2,-4.6,3.1,0.0,10.0,198.4,13.7,25.2,1016.2,503.0
2018-02-14,293.919,-2.3,-7.4,3.1,0.0,0.0,155.6,10.8,25.6,1019.4,528.0
2018-02-15,46.684,0.0,-3.3,2.3,0.5,0.0,183.6,21.2,50.0,1017.1,0.0
2018-02-16,202.652,1.3,-2.5,5.3,0.0,0.0,243.3,17.6,43.2,1024.4,365.0
2018-02-17,94.626,-1.1,-3.5,1.2,0.0,0.0,46.4,8.6,21.6,1024.7,0.0
