, ,MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
0,01.01.18,"117,928"
1,02.01.18,"69,272"
2,03.01.18,"56,669"
3,04.01.18,"30,260"
4,05.01.18,"24,557"
5,06.01.18,"44,135"
6,07.01.18,"7,206"
7,08.01.18,"10,623"
8,09.01.18,"25,985"
9,10.01.18,"74,845"
10,11.01.18,"53,762"
11,12.01.18,"9,876"
12,13.01.18,"17,549"
13,14.01.18,"101,265"
14,15.01.18,"127,038"
15,16.01.18,"60,973"
16,17.01.18,"45,272"
17,18.01.18,"74,699"
18,19.01.18,"45,216"
19,20.01.18,"65,826"
20,21.01.18,"0,154"
21,22.01.18,"3,211"
22,23.01.18,"64,748"
23,24.01.18,"116,650"
24,25.01.18,"45,400"
25,26.01.18,"38,414"
26,27.01.18,"166,862"
27,28.01.18,"100,327"
28,29.01.18,"75,286"
29,30.01.18,"214,527"
30,31.01.18,"93,131"
31,01.02.18,"185,907"
32,02.02.18,"63,994"
33,03.02.18,"93,139"
34,04.02.18,"1,893"
35,05.02.18,"2,180"
36,06.02.18,"9,333"
37,07.02.18,"66,223"
38,08.02.18,"161,379"
39,09.02.18,"81,823"
40,10.02.18,"136,701"
41,11.02.18,"76,312"
42,12.02.18,"106,570"
43,13.02.18,"282,385"
44,14.02.18,"293,919"
45,15.02.18,"46,684"
46,16.02.18,"202,652"
47,17.02.18,"94,626"
48,18.02.18,"172,730"
49,19.02.18,"145,998"
50,20.02.18,"76,860"
51,21.02.18,"212,409"
52,22.02.18,"275,217"
53,23.02.18,"296,001"
54,24.02.18,"168,096"
55,25.02.18,"310,466"
56,26.02.18,"98,846"
57,27.02.18,"304,496"
58,28.02.18,"133,415"
59,01.03.18,"332,950"
60,02.03.18,"237,182"
61,03.03.18,"36,055"
62,04.03.18,"183,083"
63,05.03.18,"264,763"
64,06.03.18,"144,634"
65,07.03.18,"214,687"
66,08.03.18,"273,051"
67,09.03.18,"221,080"
68,10.03.18,"201,616"
69,11.03.18,"255,001"
70,12.03.18,"70,445"
71,13.03.18,"151,384"
72,14.03.18,"131,724"
73,15.03.18,"336,336"
74,16.03.18,"12,946"
75,17.03.18,"11,069"
76,18.03.18,"144,279"
77,19.03.18,"338,391"
78,20.03.18,"41,326"
79,21.03.18,"416,250"
80,22.03.18,"132,339"
81,23.03.18,"177,383"
82,24.03.18,"384,071"
83,25.03.18,"403,768"
84,26.03.18,"100,511"
85,27.03.18,"245,489"
86,28.03.18,"90,503"
87,29.03.18,"234,316"
88,30.03.18,"353,206"
89,31.03.18,"85,296"
90,01.04.18,"170,078"
91,02.04.18,"395,410"
92,03.04.18,"312,302"
93,04.04.18,"362,536"
94,05.04.18,"211,811"
95,06.04.18,"497,992"
96,07.04.18,"484,445"
97,08.04.18,"469,345"
98,09.04.18,"315,415"
99,10.04.18,"433,608"
100,11.04.18,"222,830"
101,12.04.18,"323,217"
102,13.04.18,"212,718"
103,14.04.18,"462,396"
104,15.04.18,"384,822"
105,16.04.18,"159,147"
106,17.04.18,"455,623"
107,18.04.18,"482,329"
108,19.04.18,"488,762"
109,20.04.18,"475,129"
110,21.04.18,"419,599"
111,22.04.18,"388,842"
112,23.04.18,"273,681"
113,24.04.18,"320,327"
114,25.04.18,"282,179"
115,26.04.18,"350,965"
116,27.04.18,"444,835"
117,28.04.18,"455,208"
118,29.04.18,"471,617"
119,30.04.18,"372,269"
120,01.05.18,"439,396"
121,02.05.18,"307,708"
122,03.05.18,"277,345"
123,04.05.18,"320,515"
124,05.05.18,"528,216"
125,06.05.18,"534,062"
126,07.05.18,"525,673"
127,08.05.18,"512,916"
128,09.05.18,"440,330"
129,10.05.18,"266,848"
130,11.05.18,"375,499"
131,12.05.18,"491,373"
132,13.05.18,"444,789"
133,14.05.18,"541,441"
134,15.05.18,"307,741"
135,16.05.18,"261,598"
136,17.05.18,"493,371"
137,18.05.18,"216,241"
138,19.05.18,"344,475"
139,20.05.18,"553,381"
140,21.05.18,"549,142"
141,22.05.18,"509,325"
142,23.05.18,"330,731"
143,24.05.18,"108,662"
144,25.05.18,"357,893"
145,26.05.18,"481,405"
146,27.05.18,"410,593"
147,28.05.18,"516,199"
148,29.05.18,"328,898"
149,30.05.18,"383,299"
150,31.05.18,"407,081"
151,01.06.18,"472,904"
152,02.06.18,"202,208"
153,03.06.18,"456,851"
154,04.06.18,"539,987"
155,05.06.18,"315,516"
156,06.06.18,"541,971"
157,07.06.18,"339,153"
158,08.06.18,"428,660"
159,09.06.18,"414,728"
160,10.06.18,"396,208"
161,11.06.18,"136,143"
162,12.06.18,"259,150"
163,13.06.18,"248,142"
164,14.06.18,"529,448"
165,15.06.18,"255,561"
166,16.06.18,"354,584"
167,17.06.18,"371,777"
168,18.06.18,"436,596"
169,19.06.18,"332,209"
170,20.06.18,"486,378"
171,21.06.18,"427,864"
172,22.06.18,"284,662"
173,23.06.18,"161,324"
174,24.06.18,"312,998"
175,25.06.18,"371,241"
176,26.06.18,"412,827"
177,27.06.18,"480,956"
178,28.06.18,"344,669"
179,29.06.18,"539,011"
180,30.06.18,"581,504"
181,01.07.18,"589,171"
182,02.07.18,"572,762"
183,03.07.18,"558,561"
184,04.07.18,"437,922"
185,05.07.18,"419,174"
186,06.07.18,"516,912"
187,07.07.18,"577,796"
188,08.07.18,"482,662"
189,09.07.18,"539,979"
190,10.07.18,"287,607"
191,11.07.18,"247,084"
192,12.07.18,"281,130"
193,13.07.18,"526,877"
194,14.07.18,"501,125"
195,15.07.18,"525,160"
196,16.07.18,"336,740"
197,17.07.18,"535,472"
198,18.07.18,"519,871"
199,19.07.18,"541,941"
200,20.07.18,"467,099"
201,21.07.18,"157,539"
202,22.07.18,"152,169"
203,23.07.18,"454,156"
204,24.07.18,"512,036"
205,25.07.18,"472,956"
206,26.07.18,"496,546"
207,27.07.18,"405,858"
208,28.07.18,"350,912"
209,29.07.18,"378,008"
210,30.07.18,"458,149"
211,31.07.18,"376,118"
212,01.08.18,"367,771"
213,02.08.18,"384,295"
214,03.08.18,"474,990"
215,04.08.18,"393,491"
216,05.08.18,"354,065"
217,06.08.18,"513,630"
218,07.08.18,"381,539"
219,08.08.18,"389,159"
220,09.08.18,"412,726"
221,10.08.18,"449,147"
222,11.08.18,"401,332"
223,12.08.18,"487,150"
224,13.08.18,"206,879"
225,14.08.18,"278,248"
226,15.08.18,"320,414"
227,16.08.18,"471,305"
228,17.08.18,"382,895"
229,18.08.18,"360,226"
230,19.08.18,"473,541"
231,20.08.18,"239,050"
232,21.08.18,"265,448"
233,22.08.18,"409,614"
234,23.08.18,"325,587"
235,24.08.18,"206,862"
236,25.08.18,"256,355"
237,26.08.18,"440,485"
238,27.08.18,"210,968"
239,28.08.18,"427,409"
240,29.08.18,"428,643"
241,30.08.18,"153,624"
242,31.08.18,"300,485"
243,01.09.18,"394,873"
244,02.09.18,"38,111"
245,03.09.18,"77,207"
246,04.09.18,"371,222"
247,05.09.18,"372,070"
248,06.09.18,"264,255"
249,07.09.18,"246,145"
250,08.09.18,"427,308"
251,09.09.18,"290,157"
252,10.09.18,"288,638"
253,11.09.18,"381,623"
254,12.09.18,"421,479"
255,13.09.18,"52,614"
256,14.09.18,"172,203"
257,15.09.18,"333,959"
258,16.09.18,"398,031"
259,17.09.18,"352,153"
260,18.09.18,"395,572"
261,19.09.18,"373,364"
262,20.09.18,"345,160"
263,21.09.18,"156,203"
264,22.09.18,"245,284"
265,23.09.18,"61,645"
266,24.09.18,"329,928"
267,25.09.18,"334,070"
268,26.09.18,"321,203"
269,27.09.18,"371,261"
270,28.09.18,"107,062"
271,29.09.18,"389,282"
272,30.09.18,"386,768"
273,01.10.18,"209,418"
274,02.10.18,"85,530"
275,03.10.18,"243,424"
276,04.10.18,"165,562"
277,05.10.18,"349,091"
278,06.10.18,"293,038"
279,07.10.18,"55,914"
280,08.10.18,"210,996"
281,09.10.18,"254,769"
282,10.10.18,"302,101"
283,11.10.18,"319,629"
284,12.10.18,"300,879"
285,13.10.18,"301,794"
286,14.10.18,"294,758"
287,15.10.18,"286,963"
288,16.10.18,"136,839"
289,17.10.18,"226,627"
290,18.10.18,"104,759"
291,19.10.18,"103,717"
292,20.10.18,"235,796"
293,21.10.18,"230,396"
294,22.10.18,"62,069"
295,23.10.18,"47,940"
296,24.10.18,"73,483"
297,25.10.18,"58,385"
298,26.10.18,"66,611"
299,27.10.18,"84,422"
300,28.10.18,"20,984"
301,29.10.18,"20,583"
302,30.10.18,"147,146"
303,31.10.18,"178,640"
304,01.11.18,"113,363"
305,02.11.18,"161,584"
306,03.11.18,"77,776"
307,04.11.18,"29,533"
308,05.11.18,"67,955"
309,06.11.18,"183,047"
310,07.11.18,"212,599"
311,08.11.18,"82,632"
312,09.11.18,"101,799"
313,10.11.18,"140,647"
314,11.11.18,"167,386"
315,12.11.18,"176,647"
316,13.11.18,"107,051"
317,14.11.18,"201,995"
318,15.11.18,"67,217"
319,16.11.18,"130,537"
320,17.11.18,"38,321"
321,18.11.18,"111,166"
322,19.11.18,"28,609"
323,20.11.18,"3,283"
324,21.11.18,"3,882"
325,22.11.18,"11,885"
326,23.11.18,"150,858"
327,24.11.18,"36,788"
328,25.11.18,"60,270"
329,26.11.18,"6,027"
330,27.11.18,"45,101"
331,28.11.18,"127,448"
332,29.11.18,"104,950"
333,30.11.18,"15,838"
