,0,1
0, ,MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
1,01.01.18,"117,928"
2,02.01.18,"69,272"
3,03.01.18,"56,669"
4,04.01.18,"30,260"
5,05.01.18,"24,557"
6,06.01.18,"44,135"
7,07.01.18,"7,206"
8,08.01.18,"10,623"
9,09.01.18,"25,985"
10,10.01.18,"74,845"
11,11.01.18,"53,762"
12,12.01.18,"9,876"
13,13.01.18,"17,549"
14,14.01.18,"101,265"
15,15.01.18,"127,038"
16,16.01.18,"60,973"
17,17.01.18,"45,272"
18,18.01.18,"74,699"
19,19.01.18,"45,216"
20,20.01.18,"65,826"
21,21.01.18,"0,154"
22,22.01.18,"3,211"
23,23.01.18,"64,748"
24,24.01.18,"116,650"
25,25.01.18,"45,400"
26,26.01.18,"38,414"
27,27.01.18,"166,862"
28,28.01.18,"100,327"
29,29.01.18,"75,286"
30,30.01.18,"214,527"
31,31.01.18,"93,131"
32, ,MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
33,01.02.18,"185,907"
34,02.02.18,"63,994"
35,03.02.18,"93,139"
36,04.02.18,"1,893"
37,05.02.18,"2,180"
38,06.02.18,"9,333"
39,07.02.18,"66,223"
40,08.02.18,"161,379"
41,09.02.18,"81,823"
42,10.02.18,"136,701"
43,11.02.18,"76,312"
44,12.02.18,"106,570"
45,13.02.18,"282,385"
46,14.02.18,"293,919"
47,15.02.18,"46,684"
48,16.02.18,"202,652"
49,17.02.18,"94,626"
50,18.02.18,"172,730"
51,19.02.18,"145,998"
52,20.02.18,"76,860"
53,21.02.18,"212,409"
54,22.02.18,"275,217"
55,23.02.18,"296,001"
56,24.02.18,"168,096"
57,25.02.18,"310,466"
58,26.02.18,"98,846"
59,27.02.18,"304,496"
60,28.02.18,"133,415"
61, ,MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
62,01.03.18,"332,950"
63,02.03.18,"237,182"
